subject,name,fold
training01_01,mri_1_1,3
training01_01,mri_1_2,3
training01_01,mri_1_3,3
training01_01,mri_1_4,3
training01_01,mri_1_5,3
training01_01,mri_1_8,3
training01_01,mri_1_9,3
training01_01,mri_1_10,3
training01_01,mri_1_11,3
training01_01,mri_1_12,3
training01_01,mri_1_14,3
training01_01,mri_1_15,3
training01_01,mri_1_16,3
training01_01,mri_1_17,3
training01_01,mri_1_18,3
training01_01,mri_1_19,3
training01_01,mri_1_20,3
training01_01,mri_1_21,3
training01_01,mri_1_22,3
training01_01,mri_1_23,3
training01_01,mri_1_24,3
training01_01,mri_1_25,3
training01_01,mri_1_26,3
training01_01,mri_1_27,3
training01_01,mri_1_28,3
training01_01,mri_1_29,3
training01_01,mri_1_30,3
training01_01,mri_1_31,3
training01_01,mri_1_32,3
training01_01,mri_1_33,3
training01_01,mri_1_34,3
training01_01,mri_1_35,3
training01_01,mri_1_36,3
training01_01,mri_1_37,3
training01_01,mri_1_38,3
training01_01,mri_1_39,3
training01_01,mri_1_40,3
training01_01,mri_1_41,3
training01_01,mri_1_42,3
training01_01,mri_1_43,3
training01_01,mri_1_44,3
training01_01,mri_1_45,3
training01_01,mri_1_46,3
training01_01,mri_1_47,3
training01_01,mri_1_48,3
training01_01,mri_1_49,3
training01_01,mri_1_50,3
training01_01,mri_1_51,3
training01_01,mri_1_52,3
training01_01,mri_1_53,3
training01_01,mri_1_54,3
training01_01,mri_1_55,3
training01_01,mri_1_57,3
training01_01,mri_1_58,3
training01_01,mri_1_59,3
training01_01,mri_1_60,3
training01_01,mri_1_61,3
training01_01,mri_1_62,3
training01_01,mri_1_64,3
training01_01,mri_1_65,3
training01_01,mri_1_66,3
training01_01,mri_1_67,3
training01_01,mri_1_68,3
training01_01,mri_1_69,3
training01_01,mri_1_71,3
training01_01,mri_1_72,3
training01_01,mri_1_73,3
training01_01,mri_1_74,3
training01_01,mri_1_75,3
training01_01,mri_1_78,3
training01_01,mri_1_79,3
training01_01,mri_1_80,3
training01_01,mri_1_81,3
training01_01,mri_1_82,3
training01_01,mri_1_84,3
training01_01,mri_1_85,3
training01_01,mri_1_86,3
training01_01,mri_1_87,3
training01_01,mri_1_88,3
training01_01,mri_1_89,3
training01_01,mri_1_90,3
training01_01,mri_1_91,3
training01_01,mri_1_92,3
training01_01,mri_1_93,3
training01_01,mri_1_94,3
training01_01,mri_1_95,3
training01_01,mri_1_96,3
training01_01,mri_1_97,3
training01_01,mri_1_98,3
training01_01,mri_1_99,3
training01_01,mri_1_100,3
training01_01,mri_1_101,3
training01_01,mri_1_102,3
training01_01,mri_1_103,3
training01_01,mri_1_104,3
training01_01,mri_1_105,3
training01_01,mri_1_106,3
training01_01,mri_1_107,3
training01_01,mri_1_108,3
training01_01,mri_1_109,3
training01_01,mri_1_110,3
training01_01,mri_1_111,3
training01_01,mri_1_112,3
training01_01,mri_1_113,3
training01_01,mri_1_114,3
training01_01,mri_1_115,3
training01_01,mri_1_116,3
training01_01,mri_1_117,3
training01_01,mri_1_118,3
training01_01,mri_1_119,3
training01_01,mri_1_120,3
training01_01,mri_1_121,3
training01_01,mri_1_122,3
training01_01,mri_1_123,3
training01_01,mri_1_124,3
training01_01,mri_1_125,3
training01_01,mri_1_127,3
training01_01,mri_1_128,3
training01_01,mri_1_129,3
training01_01,mri_1_130,3
training01_01,mri_1_131,3
training01_01,mri_1_132,3
training01_01,mri_1_134,3
training01_01,mri_1_135,3
training01_01,mri_1_136,3
training01_01,mri_1_137,3
training01_01,mri_1_138,3
training01_01,mri_1_139,3
training01_01,mri_1_141,3
training01_01,mri_1_142,3
training01_01,mri_1_143,3
training01_01,mri_1_144,3
training01_01,mri_1_145,3
training01_01,mri_1_148,3
training01_01,mri_1_149,3
training01_01,mri_1_150,3
training01_01,mri_1_151,3
training01_01,mri_1_152,3
training01_01,mri_1_154,3
training01_01,mri_1_155,3
training01_01,mri_1_156,3
training01_01,mri_1_157,3
training01_01,mri_1_158,3
training01_01,mri_1_159,3
training01_01,mri_1_160,3
training01_01,mri_1_161,3
training01_01,mri_1_162,3
training01_01,mri_1_163,3
training01_01,mri_1_164,3
training01_01,mri_1_165,3
training01_01,mri_1_166,3
training01_01,mri_1_167,3
training01_01,mri_1_168,3
training01_01,mri_1_169,3
training01_01,mri_1_170,3
training01_01,mri_1_171,3
training01_01,mri_1_172,3
training01_01,mri_1_173,3
training01_01,mri_1_174,3
training01_01,mri_1_175,3
training01_01,mri_1_176,3
training01_01,mri_1_177,3
training01_01,mri_1_178,3
training01_01,mri_1_179,3
training01_01,mri_1_180,3
training01_01,mri_1_181,3
training01_01,mri_1_182,3
training01_01,mri_1_183,3
training01_01,mri_1_184,3
training01_01,mri_1_185,3
training01_01,mri_1_186,3
training01_01,mri_1_187,3
training01_01,mri_1_188,3
training01_01,mri_1_189,3
training01_01,mri_1_190,3
training01_01,mri_1_191,3
training01_01,mri_1_192,3
training01_01,mri_1_193,3
training01_01,mri_1_194,3
training01_01,mri_1_195,3
training01_01,mri_1_197,3
training01_01,mri_1_198,3
training01_01,mri_1_199,3
training01_01,mri_1_200,3
training01_01,mri_1_201,3
training01_01,mri_1_202,3
training01_01,mri_1_204,3
training01_01,mri_1_205,3
training01_01,mri_1_206,3
training01_01,mri_1_207,3
training01_01,mri_1_208,3
training01_01,mri_1_209,3
training01_01,mri_1_211,3
training01_01,mri_1_212,3
training01_01,mri_1_213,3
training01_01,mri_1_214,3
training01_01,mri_1_215,3
training01_01,mri_1_218,3
training01_01,mri_1_219,3
training01_01,mri_1_220,3
training01_01,mri_1_221,3
training01_01,mri_1_222,3
training01_01,mri_1_223,3
training01_01,mri_1_224,3
training01_01,mri_1_225,3
training01_01,mri_1_226,3
training01_01,mri_1_227,3
training01_01,mri_1_228,3
training01_01,mri_1_229,3
training01_01,mri_1_230,3
training01_01,mri_1_231,3
training01_01,mri_1_232,3
training01_01,mri_1_233,3
training01_01,mri_1_234,3
training01_01,mri_1_235,3
training01_01,mri_1_236,3
training01_01,mri_1_237,3
training01_01,mri_1_238,3
training01_01,mri_1_239,3
training01_01,mri_1_240,3
training01_01,mri_1_241,3
training01_01,mri_1_242,3
training01_01,mri_1_243,3
training01_01,mri_1_244,3
training01_01,mri_1_245,3
training01_01,mri_1_246,3
training01_01,mri_1_247,3
training01_01,mri_1_248,3
training01_01,mri_1_249,3
training01_01,mri_1_250,3
training01_01,mri_1_251,3
training01_01,mri_1_252,3
training01_01,mri_1_253,3
training01_01,mri_1_254,3
training01_01,mri_1_255,3
training01_01,mri_1_256,3
training01_01,mri_1_257,3
training01_01,mri_1_258,3
training01_01,mri_1_259,3
training01_01,mri_1_260,3
training01_01,mri_1_261,3
training01_01,mri_1_262,3
training01_01,mri_1_263,3
training01_01,mri_1_264,3
training01_01,mri_1_265,3
training01_01,mri_1_266,3
training01_01,mri_1_267,3
training01_01,mri_1_268,3
training01_01,mri_1_269,3
training01_01,mri_1_270,3
training01_01,mri_1_271,3
training01_01,mri_1_272,3
training01_01,mri_1_273,3
training01_01,mri_1_274,3
training01_01,mri_1_275,3
training01_01,mri_1_276,3
training01_01,mri_1_277,3
training01_01,mri_1_278,3
training01_01,mri_1_279,3
training01_01,mri_1_281,3
training01_01,mri_1_282,3
training01_01,mri_1_283,3
training01_01,mri_1_284,3
training01_01,mri_1_285,3
training01_01,mri_1_288,3
training01_01,mri_1_289,3
training01_01,mri_1_290,3
training01_01,mri_1_291,3
training01_01,mri_1_292,3
training01_01,mri_1_293,3
training01_01,mri_1_294,3
