subject,name,fold
training01_01,mri1_coronal_65_mask1,1
training01_01,mri1_coronal_66_mask1,1
training01_01,mri1_coronal_66_mask2,1
training01_01,mri1_coronal_67_mask1,1
training01_01,mri1_coronal_67_mask2,1
training01_01,mri1_coronal_68_mask1,1
training01_01,mri1_coronal_68_mask2,1
training01_01,mri1_coronal_69_mask1,1
training01_01,mri1_coronal_69_mask2,1
training01_01,mri1_coronal_70_mask1,1
training01_01,mri1_coronal_70_mask2,1
training01_01,mri1_coronal_71_mask1,1
training01_01,mri1_coronal_71_mask2,1
training01_01,mri1_coronal_72_mask1,1
training01_01,mri1_coronal_72_mask2,1
training01_01,mri1_coronal_73_mask1,1
training01_01,mri1_coronal_73_mask2,1
training01_01,mri1_coronal_74_mask1,1
training01_01,mri1_coronal_74_mask2,1
training01_01,mri1_coronal_75_mask1,1
training01_01,mri1_coronal_75_mask2,1
training01_01,mri1_coronal_76_mask1,1
training01_01,mri1_coronal_76_mask2,1
training01_01,mri1_coronal_77_mask1,1
training01_01,mri1_coronal_77_mask2,1
training01_01,mri1_coronal_78_mask1,1
training01_01,mri1_coronal_78_mask2,1
training01_01,mri1_coronal_79_mask1,1
training01_01,mri1_coronal_79_mask2,1
training01_01,mri1_coronal_80_mask1,1
training01_01,mri1_coronal_80_mask2,1
training01_01,mri1_coronal_81_mask1,1
training01_01,mri1_coronal_81_mask2,1
training01_01,mri1_coronal_82_mask1,1
training01_01,mri1_coronal_82_mask2,1
training01_01,mri1_coronal_83_mask1,1
training01_01,mri1_coronal_83_mask2,1
training01_01,mri1_coronal_84_mask1,1
training01_01,mri1_coronal_84_mask2,1
training01_01,mri1_coronal_85_mask1,1
training01_01,mri1_coronal_85_mask2,1
training01_01,mri1_coronal_86_mask1,1
training01_01,mri1_coronal_86_mask2,1
training01_01,mri1_coronal_87_mask1,1
training01_01,mri1_coronal_87_mask2,1
training01_01,mri1_coronal_88_mask1,1
training01_01,mri1_coronal_88_mask2,1
training01_01,mri1_coronal_89_mask1,1
training01_01,mri1_coronal_89_mask2,1
training01_01,mri1_coronal_90_mask1,1
training01_01,mri1_coronal_90_mask2,1
training01_01,mri1_coronal_91_mask1,1
training01_01,mri1_coronal_91_mask2,1
training01_01,mri1_coronal_92_mask1,1
training01_01,mri1_coronal_92_mask2,1
training01_01,mri1_coronal_93_mask1,1
training01_01,mri1_coronal_93_mask2,1
training01_01,mri1_coronal_94_mask1,1
training01_01,mri1_coronal_94_mask2,1
training01_01,mri1_coronal_95_mask1,1
training01_01,mri1_coronal_95_mask2,1
training01_01,mri1_coronal_96_mask1,1
training01_01,mri1_coronal_96_mask2,1
